Budget Department,Staff Dept Match,Positions,Salary Base,Adopted 2026 Total,Implied Non-Salary / Other Expense
Town Board / Legislature,,,,295301.00,
JUSTICE COURT,JUSTICE COURT,12,710357.98,907513.00,197155.02
SUPERVISOR’S OFFICE,SUPERVISOR’S OFFICE,3,247790.94,407084.00,159293.06
FINANCE,FINANCE,7,655281.74,977942.00,322660.26
TAX RECEIVER’S OFFICE,TAX RECEIVER’S OFFICE,3,162205.21,261537.00,99331.79
PURCHASING,PURCHASING,2,165093.93,221368.00,56274.07
ASSESSORS,ASSESSORS,3,190431.20,563314.00,372882.80
TOWN CLERK,TOWN CLERK,3,181579.36,307219.00,125639.64
TOWN ATTORNEY,TOWN ATTORNEY,16,1594542.10,1429097.00,-165445.10
HUMAN RESOURCES,HUMAN RESOURCES,2,167583.29,217834.00,50250.71
ENGINEERING,ENGINEERING,5,537883.80,638674.00,100790.20
BUILDINGS & GROUNDS,BUILDINGS & GROUNDS,18,1250421.89,2239916.00,989494.11
POLICE,POLICE,92,12929775.95,22388906.00,9459130.05
JUVENILE AID BUREAU,JUVENILE AID BUREAU,2,148867.32,160841.00,11973.68
BUILDING,BUILDING,7,483273.09,521209.00,37935.91
Code Enforcement,,,,671254.00,
HIGHWAY FUND TOTAL,,,,7919250.00,
HIGHWAY OPERATIONS (5110),HIGHWAY,36,2446036.22,3553226.00,1107189.78
Programs for the Aging,,,,1049154.00,
RECREATION ADMIN,,,,630273.00,
PARKS,,,,177000.00,
BEACHES,,,,199200.00,
PLANNING,PLANNING,4,394737.10,561495.00,166757.90
SANITATION DEPARTMENT & YARD WASTE PROGRAM,SANITATION DEPARTMENT & YARD WASTE PROGRAM,3,183756.78,481427.00,297670.22
ECONOMIC DEVELOPMENT / CDA,ECONOMIC DEVELOPMENT,7,656874.44,771565.00,114690.56
WASTEWATER DISTRICT - ES1 TOTAL,,,,8142722.00,
WASTEWATER DISTRICT - ES1 OPERATIONS,WASTEWATER DISTRICT,17,1245421.00,3251515.00,2006094.00
CALVERTON SEWER DISTRICT TOTAL,,,,1488357.00,
WATER DISTRICT TOTAL,,,,11008655.00,
WATER DISTRICT OPERATIONS,WATER DISTRICT,18,1489474.47,5311840.00,3822365.53
